response,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lack of a Military Defense,6,15,0,1,0,0,1,1,2,2,8,NA,NA,10,NA,NA
Fuel/Oil Prices,19,15,0,1,21,16,43,23,41,41,10,NA,NA,10,NA,NA
Dishonesty/Lack of Integrity,1,3,1,3,3,1,7,2,0,0,4,NA,NA,0,NA,NA
Judicial System/Courts/Laws,5,4,2,8,10,2,11,6,10,10,5,NA,NA,8,NA,NA
National Security,4,14,35,20,40,30,18,17,24,24,18,NA,NA,10,NA,NA
Gap Between The Rich And Poor,4,9,4,5,9,2,12,12,3,3,6,NA,NA,10,NA,NA
Wage Issues,1,2,0,0,0,2,2,1,1,1,0,NA,NA,0,NA,NA
War (non-specific)Fear of war,27,41,74,63,19,36,12,20,31,31,32,NA,NA,21,NA,NA
Breakdown of the family/values,7,16,9,4,14,8,5,7,2,2,1,NA,NA,10,NA,NA
Cancer/Diseases,8,5,1,4,4,13,3,0,1,1,3,NA,NA,0,NA,NA
Child Abuse,5,0,1,2,0,0,1,0,0,0,1,NA,NA,0,NA,NA
Advancement of Computers/Technology,28,31,8,7,0,8,5,0,7,7,10,NA,NA,13,NA,NA
Energy /Lack of energy sources,13,79,24,48,0,44,53,27,35,35,69,NA,NA,32,NA,NA
Gun Control/Guns,14,13,2,0,0,0,1,1,0,0,1,NA,NA,15,NA,NA
Cost associated with Health Insurance,3,3,6,5,2,12,4,8,8,8,1,NA,NA,0,NA,NA
Overpopulation,63,61,66,40,36,16,23,24,15,15,15,NA,NA,15,NA,NA
Lack of respect for each other,6,3,6,2,5,12,5,13,10,10,4,NA,NA,5,NA,NA
Poor leadership/Corrupt/Abuse of power,4,0,5,5,6,2,13,10,2,2,5,NA,NA,12,NA,NA
Lack of Money,11,0,2,1,0,16,17,13,11,11,41,NA,NA,51,NA,NA
Education (unspecified),NA,62,59,59,24,38,48,28,37,37,36,NA,NA,37,NA,NA
The media,NA,1,0,0,42,1,1,1,1,1,0,NA,NA,0,NA,NA
Election/Election reform,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA
Unifying the country,NA,3,3,1,0,16,19,7,12,12,6,NA,NA,9,NA,NA
China/Relations with China,NA,NA,0,3,22,5,4,3,3,3,5,NA,NA,5,NA,NA
The energy crisis,NA,NA,28,31,4,6,53,55,63,63,NA,NA,NA,0,NA,NA
Terrorism,NA,NA,46,50,23,40,31,68,35,35,15,NA,NA,4,NA,NA
Feeling of fear in the country,NA,NA,0,0,49,13,7,5,1,1,0,NA,NA,10,NA,NA
Corporate corruption,NA,NA,NA,1,5,0,2,2,0,0,5,NA,NA,0,NA,NA
NASA/Space program/Shuttle disaster,NA,NA,NA,6,2,0,2,1,3,3,0,NA,NA,0,NA,NA
Issues on the war in Iraq,NA,NA,NA,NA,5,10,7,8,16,16,5,NA,NA,0,NA,NA
Homosexuality/Gay rights,NA,NA,NA,NA,3,2,3,0,0,0,0,NA,NA,3,NA,NA
License for the undocumented,NA,NA,NA,NA,5,NA,0,0,0,0,0,NA,NA,0,NA,NA
Natural disaster relief/funding,NA,NA,NA,NA,,NA,2,1,2,2,1,NA,NA,0,NA,NA
Korea,NA,NA,NA,NA,,NA,NA,0,0,0,1,NA,NA,4,NA,NA
War/conflict between Middle Eastern Nations,NA,NA,NA,NA,,NA,NA,5,3,3,1,NA,NA,0,NA,NA
Situation in Afghanistan,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA
Situation in Syria,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Situation with Russia,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Survival of the planet/humanity,NA,NA,16,28,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nation won't survive,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
